x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,y
0.28648,0.76797,0.8656,0.23025,0.38851,0.69154,0.94781,0.53947,0.38764,0.84426,0.89593,0.47046,0.32524,0.56095,0.65649,0.80091,0.95172,0.57486,0.41892,0.11318,0.80969,0.7259,0.36915,0.64329,0.3527,0.40554,0.77302,0.83348,0.90548,0.12009,0.87827,0.016796,0.54759,0.3783,0.27145,0.74993,0.46469,0.79983,0.11785,0.41884,0.64812,0.96615,0.97115,0.068065,0.70941,0.0024482,0.72175,0.90658,0.96879,0.018207,0.47133,0.62225,0.63107,0.15916,0.43797,0.12692,0.72469,0.76893,0.25102,0.054002,0.5105,0.21795,0.7659,0.91742,0.9973,0.29548,0.99277,0.57956,0.32012,0.73259,0.40881,0.58044,0.92407,0.35533,0.49168,0.91371,0.3448,0.79344,0.1502,0.4982,0.76693,0.82829,0.32575,0.69536,0.25272,0.39646,0.77199,0.80078,0.3136,0.99488,0.21575,0.36346,0.75008,0.28254,0.076441,0.3612,0.16042,0.82872,0.21281,0.93502,26.925
0.32532,0.83074,0.44977,0.56193,0.60565,0.1564,0.46391,0.76272,0.93479,0.58391,0.53193,0.82478,0.81248,0.27399,0.89375,0.041964,0.83375,0.88045,0.34544,0.37964,0.078743,0.83977,0.27488,0.33681,0.51892,0.56166,0.049268,0.67426,0.56037,0.92678,0.66625,0.62324,0.10484,0.87799,0.95076,0.30102,0.2683,0.119,0.94622,0.45628,0.38823,0.12221,0.0067467,0.92327,0.208,0.74293,0.65275,0.24859,0.89701,0.68215,0.62899,0.66783,0.8307,0.080514,0.81031,0.77686,0.90929,0.71576,0.53827,0.75833,0.53515,0.12829,0.51307,0.19699,0.52082,0.58367,0.57615,0.99915,0.70717,0.84112,0.30681,0.52543,0.99955,0.70762,0.755,0.0098859,0.64253,0.96992,0.49913,0.61164,0.897,0.7232,0.58916,0.93599,0.72866,0.79894,0.23421,0.63356,0.70748,0.40253,0.42708,0.55296,0.11157,0.80561,0.4239,0.16726,0.083494,0.8975,0.70338,0.70717,26.527
0.93015,0.74205,0.79203,0.98151,0.96494,0.92387,0.076793,0.83263,0.43148,0.33622,0.028085,0.51107,0.43207,0.91489,0.72961,0.30638,0.41512,0.41087,0.3742,0.34974,0.012064,0.95202,0.17846,0.94015,0.34516,0.14273,0.31198,0.013288,0.88513,0.038475,0.85262,0.56542,0.45391,0.94253,0.90993,0.6501,0.25,0.21038,0.94347,0.071243,0.55425,0.5677,0.72686,0.53369,0.89286,0.96209,0.35822,0.96159,0.9716,0.95984,0.21705,0.51966,0.16156,0.18375,0.798,0.75402,0.038233,0.71041,0.99801,0.10674,0.83138,0.6371,0.62353,0.056043,0.76442,0.028314,0.65082,0.048146,0.79899,0.083629,0.12825,0.012891,0.081422,0.59998,0.14996,0.84229,0.89017,0.97655,0.15625,0.80368,0.1327,0.73563,0.55398,0.94028,0.91755,0.87879,0.55123,0.12245,0.83682,0.74345,0.94282,0.66433,0.090614,0.74449,0.7835,0.25272,0.60998,0.70993,0.41356,0.42567,28.877
0.50167,0.2556,0.33835,0.76387,0.93655,0.16139,0.26421,0.92283,0.59483,0.44579,0.026921,0.028407,0.1438,0.31709,0.094473,0.9111,0.80135,0.98455,0.76464,0.046332,0.37751,0.96338,0.23989,0.90648,0.017845,0.14693,0.50217,0.81769,0.75855,0.29443,0.18617,0.48833,0.97264,0.47848,0.28491,0.92141,0.3012,0.65636,0.91752,0.56465,0.047276,0.89557,0.12371,0.065373,0.98536,0.25169,0.73167,0.01182,0.0015826,0.053456,0.92279,0.91436,0.34358,0.41158,0.17755,0.32049,0.12095,0.25119,0.79403,0.60564,0.63676,0.21784,0.22311,0.80844,0.2505,0.6043,0.2372,0.47453,0.78617,0.5402,0.63542,0.41548,0.15155,0.81509,0.57924,0.77463,0.9681,0.0083471,0.70199,0.77833,0.15857,0.56991,0.61282,0.3235,0.8831,0.61251,0.2705,0.83371,0.40983,0.54832,0.32636,0.36468,0.83929,0.49188,0.76014,0.96061,0.59108,0.99478,0.13714,0.80464,22.313
0.21729,0.69956,0.27804,0.52115,0.89397,0.12505,0.53918,0.97857,0.30461,0.97232,0.12234,0.94553,0.26996,0.59484,0.10403,0.29665,0.64957,0.019393,0.12812,0.99081,0.060263,0.22701,0.21745,0.99033,0.63833,0.33839,0.6383,0.50952,0.50645,0.68175,0.38617,0.7674,0.33304,0.16348,0.40006,0.11294,0.41242,0.34474,0.55213,0.25163,0.94925,0.25377,0.67514,0.44622,0.059989,0.29615,0.27143,0.12581,0.56245,0.28438,0.65405,0.063491,0.59601,0.10491,0.031889,0.46016,0.37043,0.16025,0.40815,0.49948,0.10899,0.59076,0.82314,0.14674,0.75249,0.63587,0.084227,0.90925,0.3126,0.34829,0.41123,0.67183,0.56809,0.31241,0.67404,0.85316,0.44154,0.73731,0.60137,0.30811,0.16765,0.42028,0.55648,0.094966,0.16053,0.32824,0.53835,0.92355,0.28573,0.25005,0.70665,0.37876,0.20711,0.14568,0.94017,0.58554,0.29699,0.039614,0.75011,0.60004,21.513
0.35693,0.35876,0.45192,0.91774,0.92692,0.22177,0.27645,0.3587,0.69906,0.22095,0.041774,0.58774,0.89135,0.32177,0.60802,0.66218,0.5808,0.7907,0.5485,0.11372,0.43499,0.071678,0.72146,0.55968,0.6882,0.15273,0.73664,0.2225,0.1283,0.37619,0.96601,0.56981,0.066847,0.73272,0.34413,0.26114,0.39437,0.28435,0.33314,0.3277,0.48666,0.21524,0.00043316,0.81643,0.29585,0.81343,0.351,0.82185,0.33847,0.93132,0.83269,0.49657,0.41554,0.10206,0.59563,0.43452,0.98444,0.94559,0.95496,0.067647,0.35603,0.60466,0.28918,0.99844,0.37876,0.93915,0.48731,0.78207,0.98067,0.13145,0.33111,0.60536,0.24499,0.40337,0.7545,0.44359,0.94857,0.63634,0.98032,0.084029,0.95329,0.2583,0.35641,0.042024,0.32673,0.36826,0.5035,0.7223,0.26479,0.70553,0.91299,0.69079,0.93622,0.72747,0.29477,0.17068,0.52311,0.13509,0.80982,0.65608,21.751
0.53769,0.69703,0.35693,0.27588,0.22099,0.8623,0.35719,0.55813,0.45475,0.45864,0.45886,0.1498,0.72597,0.35342,0.3116,0.39774,0.014476,0.04557,0.43468,0.092325,0.54619,0.21953,0.73393,0.25707,0.70973,0.62406,0.80314,0.99108,0.37287,0.43119,0.55391,0.898,0.19878,0.63556,0.62994,0.38129,0.73234,0.66838,0.82709,0.028772,0.3091,0.23008,0.48424,0.93367,0.54089,0.37848,0.24589,0.39765,0.86386,0.1753,0.48502,0.25618,0.36275,0.40713,0.95262,0.20716,0.93098,0.9971,0.32674,0.38908,0.80127,0.8671,0.331,0.55555,0.28368,0.5011,0.84767,0.96442,0.61946,0.84053,0.59836,0.079178,0.81703,0.58219,0.22184,0.5343,0.39895,0.77666,0.95919,0.45369,0.28363,0.15061,0.38044,0.54323,0.41546,0.13938,0.29983,0.90516,0.32909,0.98903,0.068435,0.701,0.18906,0.72691,0.081343,0.21021,0.23549,0.72658,0.78879,0.35954,25.104
0.67152,0.11838,0.13012,0.48079,0.14452,0.29247,0.55085,0.73619,0.56841,0.67235,0.92929,0.60039,0.93713,0.97601,0.50115,0.040864,0.067556,0.15983,0.21834,0.40606,0.018479,0.10834,0.50237,0.022698,0.42125,0.21977,0.6613,0.69761,0.99247,0.48284,0.87215,0.88401,0.57737,0.80072,0.91464,0.46265,0.83137,0.24126,0.43835,0.095598,0.37487,0.53192,0.95218,0.84577,0.090917,0.61341,0.18101,0.53263,0.92537,0.69537,0.41526,0.34993,0.54299,0.18685,0.67129,0.72995,0.27994,0.76819,0.021321,0.091532,0.81408,0.68231,0.31324,0.9979,0.57579,0.63032,0.66392,0.78967,0.3397,0.13026,0.38362,0.87007,0.98926,0.53805,0.39558,0.41056,0.63862,0.3366,0.55025,0.089842,0.8301,0.2608,0.81912,0.83764,0.90262,0.0055271,0.48177,0.25982,0.91707,0.9254,0.89843,0.76968,0.014656,0.62747,0.5103,0.49454,0.18421,0.36152,0.31348,0.31231,22.795
0.41243,0.31116,0.57412,0.97537,0.35505,0.80877,0.7052,0.93154,0.22229,0.065549,0.26272,0.78742,0.17317,0.85456,0.27711,0.0039827,0.79184,0.304,0.29978,0.98951,0.62719,0.26725,0.53189,0.4497,0.52223,0.53198,0.28148,0.50604,0.90188,0.51356,0.58527,0.925,0.85211,0.53644,0.0063176,0.35469,0.40721,0.19895,0.075244,0.82616,0.74543,0.89316,0.5832,0.18046,0.68281,0.5053,0.153,0.10282,0.39347,0.25668,0.57067,0.095499,0.38988,0.27335,0.7609,0.10572,0.81624,0.70953,0.69328,0.70101,0.67245,0.27811,0.3236,0.69985,0.66782,0.18757,0.74994,0.94229,0.94526,0.037771,0.79651,0.31417,0.47825,0.82643,0.38776,0.48539,0.12979,0.91824,0.0040866,0.67232,0.6845,0.67019,0.95139,0.81528,0.25759,0.041412,0.08173,0.31629,0.60342,0.20927,0.47676,0.91223,0.70354,0.75949,0.75032,0.89079,0.80956,0.30328,0.73526,0.68065,26.443
0.36413,0.52132,0.93201,0.036057,0.84823,0.6161,0.13632,0.74949,0.35907,0.67558,0.33067,0.0035258,0.37776,0.69713,0.84098,0.075702,0.059786,0.75798,0.43665,0.88012,0.32354,0.067987,0.1847,0.82129,0.35139,0.13388,0.82857,0.055241,0.40364,0.20232,0.57584,0.53563,0.59017,0.9101,0.13593,0.24956,0.31686,0.31924,0.18257,0.19308,0.84735,0.26679,0.015012,0.49878,0.55791,0.08717,0.68984,0.70511,0.92933,0.011183,0.58789,0.15383,0.51129,0.85568,0.065545,0.21729,0.61431,0.040594,0.97167,0.21029,0.076662,0.30361,0.89804,0.53616,0.41502,0.84453,0.54589,0.37855,0.46018,0.44515,0.88243,0.092589,0.29309,0.1723,0.94308,0.38531,0.57485,0.38862,0.57671,0.52075,0.30126,0.75221,0.96313,0.30281,0.56379,0.84608,0.48143,0.33946,0.10075,0.51027,0.31242,0.76716,0.052274,0.60752,0.54467,0.83522,0.089368,0.41928,0.025426,0.97326,19.226
